generic_slug,public_slug,indications,indications_bn,side_effects,side_effects_bn,contraindications,precautions,patient_advice_bn,published
paracetamol,paracetamol,Fever and mild to moderate pain.,জ্বর এবং হালকা থেকে মাঝারি ব্যথা।,Usually well tolerated. Rarely rash; liver damage in overdose.,সাধারণত নিরাপদ। কদাচিৎ র‍্যাশ; অতিরিক্ত মাত্রায় লিভারের ক্ষতি হতে পারে।,Severe liver disease; known hypersensitivity.,Do not exceed 4 g per day; count every paracetamol-containing product.,দিনে ৮টির বেশি ৫০০ মি.গ্রা. ট্যাবলেট খাবেন না। অন্য জ্বরের ওষুধেও প্যারাসিটামল থাকতে পারে।,1
ibuprofen,ibuprofen,"Pain, fever, inflammation.","ব্যথা, জ্বর, প্রদাহ।","Stomach upset, ulcer, bleeding; kidney impairment.","পেটে অস্বস্তি, আলসার, রক্তক্ষরণ।","Peptic ulcer; severe heart, kidney or liver failure; third trimester.",Take with food; shortest course possible.,খাবারের পরে খান। কালো পায়খানা হলে বন্ধ করে চিকিৎসককে জানান।,1
diclofenac,diclofenac,"Pain and inflammation of joints, muscles and after injury.",জয়েন্ট ও পেশির ব্যথা।,"Stomach upset, ulcer, bleeding; raised blood pressure.","পেটে অস্বস্তি, আলসার।",Peptic ulcer; ischaemic heart disease; third trimester.,Take with food; avoid long courses.,খাবারের পরে খান।,1
naproxen,naproxen,[dev seed] Naproxen: indications as per the current national formulary.,[dev seed] ন্যাপ্রোক্সেন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Naproxen: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ন্যাপ্রোক্সেন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ন্যাপ্রোক্সেন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
ketorolac,ketorolac,[dev seed] Ketorolac: indications as per the current national formulary.,[dev seed] কিটোরোল্যাক: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Ketorolac: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] কিটোরোল্যাক: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] কিটোরোল্যাক: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
aspirin,aspirin,[dev seed] Aspirin: indications as per the current national formulary.,[dev seed] অ্যাসপিরিন: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Aspirin: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] অ্যাসপিরিন: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] অ্যাসপিরিন: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
tramadol,tramadol,[dev seed] Tramadol: indications as per the current national formulary.,[dev seed] ট্রামাডল: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Tramadol: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] ট্রামাডল: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] ট্রামাডল: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
omeprazole,omeprazole,"Gastric and duodenal ulcer, reflux, dyspepsia, H. pylori eradication.","পাকস্থলীর আলসার, বুক জ্বালা, গ্যাস্ট্রিক।","Headache, nausea, diarrhoea, abdominal pain. Long-term use: low magnesium, fracture risk.","মাথাব্যথা, বমি ভাব, পাতলা পায়খানা, পেট ব্যথা।",Known hypersensitivity to proton pump inhibitors.,Review the need for long-term therapy; may mask gastric cancer symptoms.,সকালে খাবারের ৩০ মিনিট আগে খান। দীর্ঘদিন খাওয়ার আগে চিকিৎসকের পরামর্শ নিন।,1
esomeprazole,esomeprazole,"Reflux, ulcer, H. pylori eradication.","বুক জ্বালা, আলসার।","Headache, diarrhoea, nausea, abdominal pain.","মাথাব্যথা, পাতলা পায়খানা, বমি ভাব।",Hypersensitivity.,Review long-term use.,সকালে খাবারের আগে খান।,1
pantoprazole,pantoprazole,"Reflux, ulcer, prevention of NSAID gastropathy.","বুক জ্বালা, আলসার।","Headache, diarrhoea, nausea.","মাথাব্যথা, পাতলা পায়খানা।",Hypersensitivity.,Review long-term use.,সকালে খাবারের আগে খান।,1
ranitidine,ranitidine,Ulcer and reflux (largely superseded by PPIs).,আলসার ও বুক জ্বালা।,"Headache, dizziness, constipation.","মাথাব্যথা, মাথা ঘোরা।",Hypersensitivity.,Check for product recalls (NDMA).,নির্দেশিত মাত্রায় খান।,1
domperidone,domperidone,"Nausea, vomiting, bloating.","বমি, পেট ফাঁপা।",Dry mouth; rarely QT prolongation.,মুখ শুকিয়ে যাওয়া।,Cardiac disease with QT prolongation; severe liver disease.,Lowest dose for the shortest time; max 1 week.,খাবারের ১৫-৩০ মিনিট আগে খান; ৭ দিনের বেশি নয়।,1
ondansetron,ondansetron,Nausea and vomiting including chemotherapy and post-operative.,বমি ও বমি ভাব।,"Headache, constipation, flushing.","মাথাব্যথা, কোষ্ঠকাঠিন্য।",Congenital long QT.,Caution with other QT-prolonging drugs.,নির্দেশিত মাত্রায় খান।,1
hyoscine-butylbromide,hyoscine-butylbromide,[dev seed] Hyoscine butylbromide: indications as per the current national formulary.,[dev seed] হায়োসিন বিউটাইলব্রোমাইড: জাতীয় ফর্মুলারি অনুযায়ী ব্যবহার।,"[dev seed] Hyoscine butylbromide: common side effects include nausea, headache and hypersensitivity reactions; see the leaflet.","[dev seed] হায়োসিন বিউটাইলব্রোমাইড: সাধারণ পার্শ্বপ্রতিক্রিয়া বমি ভাব, মাথাব্যথা ও অ্যালার্জি; বিস্তারিত লিফলেটে।",[dev seed] Known hypersensitivity.,[dev seed] Use only as directed by the prescriber.,[dev seed] হায়োসিন বিউটাইলব্রোমাইড: চিকিৎসকের নির্দেশ অনুযায়ী ওষুধ খান; সমস্যা হলে যোগাযোগ করুন।,1
amoxicillin,amoxicillin,"Bacterial infections of the ear, throat, chest, urinary tract and skin.","কান, গলা, বুক, প্রস্রাব ও ত্বকের ব্যাকটেরিয়া সংক্রমণ।","Diarrhoea, nausea, rash. Rarely severe allergic reaction.","পাতলা পায়খানা, বমি ভাব, র‍্যাশ। কদাচিৎ মারাত্মক অ্যালার্জি।",Penicillin allergy.,"Stop and seek help if rash, swelling or breathing difficulty develops.","কোর্স শেষ করুন, ভালো লাগলেও মাঝপথে বন্ধ করবেন না। র‍্যাশ বা শ্বাসকষ্ট হলে দ্রুত হাসপাতালে যান।",1
